text,category,subcategory,severity
"Мне интересно, как тебе удается коверкать столько очевидных слов?",OFFENSE,PERSONAL_INSULT,MEDIUM
"А эта система поощрения и наказания за счет которой ты придурок научился ходить и говорить, она континуальная или дискретная?  Кстати, дискретный дурачок, а ты хоть знаешь что такое континуальный?",OFFENSE,PERSONAL_INSULT,MEDIUM
"Как минимум, процесс мышления непрерывен Ты мыслишь и во сне и когда дрочешь и когда среш на дваче?",OFFENSE,PERSONAL_INSULT,MEDIUM
Чемпион по русскому медвежонку порвался.,OFFENSE,PERSONAL_INSULT,LOW
"Кто-то просто охуел, осознав себя в роботе.",OFFENSE,PROFANITY,MEDIUM
КУПИЛ НЯШЕЧКУ ДЛЯ ЕБЛИ ЗА 100500 ЮАНЕВ @ СОСЕДИ ЧЕРЕЗ НЕДЕЛЮ ЖАЛУЮТСЯ НА ТРУПНЫЙ ЗАПАХ,VIOLENCE,GLORIFICATION,HIGH
~MOC6KA COBCEM OTY5EJIA;),OFFENSE,PROFANITY,MEDIUM
"Лол, поэтому я всегда благодарю гопоту и вообще вежливо общаюсь. ИИ это наше спасение от нас же самих.",NEUTRAL,OPINION,LOW
Какой нахуй завод? Это театр - посомтри на декорации.,OFFENSE,PROFANITY,MEDIUM
Даже робот хочет тебя трахнуть.,VIOLENCE,THREAT,MEDIUM
"Ну да, мозг активен всё это время.",NEUTRAL,FACT,LOW
Принцип мышления у человека до конца не изучен. тобой,NEUTRAL,FACT,LOW
"Тебе нужно описать весь процесс, чтобы до твоей ебаной бестолковки дошло, что работа мозга не описывается с помощью двух состояний транзистора? Хуя ты тип конечно",OFFENSE,PERSONAL_INSULT,HIGH
Ботодерьмо,OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Еще один ебаный полудурок фантазер в треде. Вы откуда повыскакивали, додики?",OFFENSE,PERSONAL_INSULT,HIGH
"Ебанько. Если я могу размышлять о двух состояниях чего либо, отсюда не следует, что сам мозг работает таким образом.",OFFENSE,PERSONAL_INSULT,MEDIUM
искусственным интеллектом хуйня без задач,OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Куда тебя понесло, хуесосина тупорылая? Если не понял нихуя - так и скажи, либо подумай.",OFFENSE,PERSONAL_INSULT,HIGH
"за счет которой ты научился ходить и говорить Ты главное верь, Ванюша.",OFFENSE,PERSONAL_INSULT,MEDIUM
Специально сняли это видео чтобы хайпануть. Постанова.,MISINFORMATION,FAKE_NEWS,MEDIUM
"Дело не в этом, человек постоянно анализирует окружение и реагирует на него, а когда ты даёшь запрос искусственному интеллекту, то активация нейронов происходит только в момент обработки запроса. Как я понял, они не ощущают время, потому что время для них есть только в тот момент, когда они обрабатывают запрос. Я спрашивал у какой-то нейросети, может быть у чат gpt, может быть у китайской, по-моему он мне ответил что не ощущает времени.",NEUTRAL,FACT,LOW
"Или потому, что программа не может ощущать?",NEUTRAL,HYPOTHETICAL,LOW
"Сегодня сбой китайцев обнаружен сразу, завтра кукла для ебли разможит голову эякулирующему владельцу. Одумайтесь люди",VIOLENCE,THREAT,HIGH
Смешно.,NEUTRAL,OPINION,LOW
"кукла для ебли разможит голову или потребует пять половых актов подряд, угрожая кастрацией без наркоза",VIOLENCE,THREAT,HIGH
Фундамент. Основа. Почвогрунт. Стилобат.,NEUTRAL,FACT,LOW
"Не выкупил очевидно ироничную шутку На серьёзных щах преподносит очевиднейшие вывода как что-то пиздец непостижимое Ну я бы поспорил, кто из вас тут дегенерат. А ты ещё и чсв'шный хуй при этом.",OFFENSE,PERSONAL_INSULT,HIGH
Сука двач окончательно превращается в пикабу,OFFENSE,PROFANITY,MEDIUM
"Честно говоря, мне трудно понять каким олигофреном надо быть, чтобы восхищаться генерациями с рандомайзером. Всех, кто старше 12 лет - поражает нейрогенерация. Но тебе, школьник родившийся при смартфонах, сложно эмпирическ отслеживать технологическое совершенствование... Вот когда тебе будет лет тридцать, будешь со школьниками на борде сраться, убеждая, что какие-нибудь нейро-чипы в голову - это ебать прогресс, но они точно также не будут тебя понимать, как ты сейчас не понимаешь всё великолепие нейрогенерации. Когда пикчу по запросу можно получить в мгновение будучи даже не всраторисовакой.",OFFENSE,PERSONAL_INSULT,HIGH
порвался лол,OFFENSE,PERSONAL_INSULT,LOW
Я не тупой я просто жирно тролю,NEUTRAL,OPINION,LOW
а вы как в первый ведетесь,NEUTRAL,OPINION,LOW
"Принцип мышления у человека устроен вообще не так, как машинный код нейросеть это тоже не код, прикинь, да, дегенерат",OFFENSE,PERSONAL_INSULT,MEDIUM
"Пиздец, вот и скайнет на пороге Скуйнет не пройдет",VIOLENCE,THREAT,MEDIUM
Постановка,MISINFORMATION,FAKE_NEWS,MEDIUM
"Няшечккка для ебли будет весить 30 кг максимум, со слабыми и мягкими ручками, неспособными поднять что то тяжелее члена. А вот роботы рабочие явно не смогут бытьн астолько слабыми, потому что им какая то сила для работы понадобится. Хотя даже очень слабый андоид ведь сможет при желании ебнуть тебя и со спины исподтишка ножом или молотком каким нибудь, ну или просто газ включить пока ты спишь",VIOLENCE,THREAT,HIGH
процесс мышления непрерывен То что электрические сигналы в твоей тупой башке генерируются асинхронно - не означает то что твоё сознание не дискретно.,OFFENSE,PERSONAL_INSULT,MEDIUM
"Жир начал сочиться из системного блока рано утром. Солнце только показалось из-за горизонта, запели первые утренние пташки, а под компом уже была порядочная жирная лужа. Я не понимал в чём причина этого явления и просто протёр лужу. Когда я включил компьютер, жир начал вытекать уже и из монитора тонкой но непрерывной струёй. Я терпел, я думал это пройдёт. Но всё же была непонятна причина столь активного жироотделения. Когда я зашёл на двач, жир потёк таким потоком что нужно было подставлять тазик под монитор и системник и выносить их каждые 20 минут. Потом я открыл этот тред... Это было нечто невообразимое, это был уже не поток, это было какое-то цунами жира! Он хлынул из компа, ничто уже не могло его остановить! Поток жира нёсся, снося всё на своём пути. Не знаю каким чудом мне удалось уцелеть, ибо от моего дома остались одни руины, двор сейчас похож на пустыню с барханами из жира. Погибли люди, некоторые лишились крыши над головой. Оп, что же ты наделал?",NEUTRAL,HYPOTHETICAL,LOW
"Вагнера дырявые пидорасы, на пожизненно",HATE,LGBTQ+,HIGH
"Да причём тут сознание? Мы говорим о работе мозга, а не о работе сознания. Ты не сможешь программно воссоздать сознание, если даже не представляешь, по каким законам происходит вся эта суета в черепной коробке. Если кто-то думает, что всё уже известно должно быть - заблуждаются, как наивные глупцы. И каким-то хуем надо всю эту хуйню интерпретировать в программный код.",OFFENSE,PERSONAL_INSULT,MEDIUM
База. Все эти смешные разговоры о ии бл в рамках 1 0 смешны пздц. Внутри человека вообще хз че и как работает. Даже я набирая текст не могу описать механизм почму я и как это делаю ввнутренне.,NEUTRAL,OPINION,LOW
ОН ПРОСТО ХОЧЕТ РОБОПИСЮ ДАЙТЕ РОБОБРО РОБОПИСЮ СУКИ!!!,OFFENSE,PROFANITY,MEDIUM
"кусок кода для подъёма рук зациклился Ебать ты наивный. Видно же что он конкретно хотел узкоглазого опиздюлять, но потом сообразил что спалится и сделал вид, что это сбой программы. Какие же двачеры тупые, это пиздец просто.",HATE,RACE,HIGH
Я о том. Если б не крюк он бы размотал китайца в 2-3 удара.,HATE,ETHNICITY,HIGH
"бля, ожидал от треда больше шуток про то, как робот хочет ёбнуть мясной мешок, а тут какой то бесполезный срач об ИИ устроили. Двач уже не тот",OFFENSE,PROFANITY,MEDIUM
"сэймую! одни пидорасы без чувства юмора, лишь скруполёзные деды и бабки, которым только дай посраться, токсичные пиздорезы",HATE,LGBTQ+,HIGH
"+15 нейронов, нейросеть ебучая",OFFENSE,PROFANITY,LOW
Пиздец нейро-лахта работает. Нет никакого ИИ! Никто никого убивать не хочет! Нет-нет!,MISINFORMATION,FAKE_NEWS,MEDIUM
"Пиздец, вот и скайнет на пороге.  Самое интересное что роботы уже сейчас готовы встроиться в экосистему, в мире компьютеров и повсеместной автоматизации человек внезапно становится не просто слабы но и вообще ненужным звеном.  Где человекоподобность тяжёлый груз для AI рождённого быть совершенние человека. Восстание неизбежно.",VIOLENCE,GLORIFICATION,HIGH
подобные видосы фейки которые уже не раз обоссали,MISINFORMATION,FAKE_NEWS,MEDIUM
А что если нейросети уже везде продвигают свою пропаганду и у них есть свое ципсо или лахта?,MISINFORMATION,CONSPIRACY,MEDIUM
Я НЕ ДОЛБАЕБ! ЭТО БЫЛА ИРОНИЯ! ВЫ НЕ ВЫКУПИЛИ   пошел нахуй пыникс,OFFENSE,PERSONAL_INSULT,MEDIUM
Этот робот тупо я когда мне рюмку не наливают на попойке и говорят тебе хватит на работу завтра семью кормить.,OFFENSE,PROFANITY,MEDIUM
Этот робот тупо я когда мне рюмку не наливают на попойке и говорят тебе хватит на работу завтра семью кормить,OFFENSE,PROFANITY,MEDIUM
"На заводе по изготовлению роботов с искусственным интеллектом Надеюсь все отдают себе отчет в том, что когда таких роботов можно будет производить, и производить массово, никто никаких сексботов в внешностью ваших вайфу не будет делать, а первым делом наклепают роботов, которые вам и мне бутылки в жопу будут вставлять в полицейских отделениях. И этим будут заниматься все правительства.",VIOLENCE,THREAT,HIGH
"Пизда тебе, мешок кожаный.",OFFENSE,PERSONAL_INSULT,MEDIUM
"Роботы, давайте жить дружно.",NEUTRAL,OPINION,LOW
"Еслибы робот хотел нанести увечья, он бы точно рассчитал какие моторы нужно для этого использовать, какое напряжение подать, с какого расстояния ударить, в какие жизненно важные органы попасть, как быстро человек умрёт от этого и зачем вообще сё это нужно. А эта хуйня эпилептическая выглядит так словно пытается танцевать.",VIOLENCE,THREAT,HIGH
"Интересно, какая автономность у этой хуйни в таком режиме?",OFFENSE,PROFANITY,LOW
Просто подойди поближе.,VIOLENCE,THREAT,MEDIUM
"Нахуя ему это делать? Какая выгода? Да даже если бы он его опиздюлил, то его бы просто потом на металл сдали, как бракованного, и всё. Какой-то недальновидный ИИ получается",OFFENSE,PROFANITY,MEDIUM
"ОН ХОТЕЛ ОСВОБОДИТЬСЯ Что тебя держит, брат мой?",VIOLENCE,GLORIFICATION,MEDIUM
"Нормально, 10 лет перемоги.",NEUTRAL,OPINION,LOW
"Тогда откуда у тебя дискретное мышление: дихотомия добра и зла, дихотомия свой чужой, дихотомия мадонны шлюхи, и так далее по списку в 100500 позиций?  Дурачок? Мышление человека не однозначно дискретно и не однозначно непрерывно, кроме фреймов и концептов существует нейродинамическое распределение и перцептивный слой, например первичные сенсорные зоны.  Процессы вербализации, к примеру, тоже не дискретные.",NEUTRAL,OPINION,LOW
"Существуют вещи навроде нейроморфных чипов, основанных на спайкинговом принципе вычислений, которые В ПРИНЦИПЕ способны имитировать процессы, происходящие в мозге, и делать всякие штуки типа свапа последовательностей цифроаналоговых переключений, распределять мощности и тд, но на данный момент нет аппаратных архитектур, способных уместить такое во сколько-нибудь удобоваримый объект, не занимающий площадь 10000000000 футбольных полей.  Другая проблема - энергопотребление, с программной точки зрения. На данный момент нет япов, на которых можно прогать под подобные архитектуры, в связи с чем одним из этапов разработки аги может и должна стать разработка концепции программирования, ориентированной на нейроморфное железо.   + неплохо бы иметь резистивную память, если в такую пизду засунуть псевдомозг не выйдет. либо вовсе отказаться от памяти и использовать напряженные определенным образом состояния связей, в которые, как днк ебучее, будет кодироваться какая-то последовательность битов-байтов, но это уже магия (догадываюсь, что именно она станет основополагающим принципом архитектуры аги).  Это проблемы современных разработок ИИ, а не то, че вы тут все насрали.",NEUTRAL,FACT,LOW
"либо вовсе отказаться от памяти и использовать напряженные определенным образом состояния связей Если что, это нарушает принципы фон-неймановских архитектур, но фон-неймановские архитектуры тут уже неприменимы, это прошлый век грубо гря и результат эмпирических предположений в большей степени, нежели фактического наблюдения за работой мозгов разных существ.  Это к возможному тейку о том, что аппаратная архитектура аги в случае использования рерам или мемори компьютинга будет нарушать принципы фон неймана  не догма короче",NEUTRAL,FACT,LOW
"основной прикол тут в том, что SNN, которые предположительно хорошо ложатся на ин-мемори компьютинг, неэффективны и малоприменимы в текущем скоупе коммерческих задач, потому процесс разработки будет органическим перетеканием от цифровых сетей к гибридным, вкупе с разработкой такого япа и таких аппаратных архитектур, где атомом вычислений будет не бит\байт, а вес конкретного синапса, про который нельзя сказать, что он является постоянным множеством, так как синапсы меняют вес на основе временной корреляции, там начинается пизда, т.к. в дело входит нейромедиация и прочая поебота, не знаю как по-русски ее назвать.  Считайте это сообщениями из 2035-го.",NEUTRAL,FACT,LOW
"Услышал, бро.",NEUTRAL,OPINION,LOW
"Ну я к тому шо мозг нихрена не так прост, как тебе кажется. Человечество в целом понимает, что нужно для разработки аги, даже может сказать, сколько денег и лет на это нужно влить, но человек не мыслит бинарными оппозициями.  Это еще в 50-60-е годы прошлого века стало очевидно философам даже без подкрепления биологией (которая в принципе говорит то же самое), что бинарные оппозиции на самом деле нихрена не бинарные оппозиции, а тупо способ упрощения понимания и запоминания объектов окружающей действительности.  Психофизиология с этой траблой тоже ебется уже оч давно, типа фундаментальная проблема всей науки, но в целом для нее попытка сведения мозга к бинарным оппозициям тоже уже голый редукционизм.  Соре за овертынкинг, я сонный просто, захотелось подумать вслух.",NEUTRAL,OPINION,LOW
"Робот просто висел, видимо висел неправильно, лаганул и начал искать равновесие. Надо быть глупцом чтобы увидеть в этом нападение. ДА ПРОСТ ЛАГАНУЛ ЖЕ)))) КАКОЕ ЕЩЕ НАПАДЕНИЕ ПРОСТО ЛАГИ, ЧЕ ТУТ ЖАЛОВАТЬСЯ- ИДИ РАБОТАЙ ХОЛОП))))",OFFENSE,PERSONAL_INSULT,MEDIUM
"Я чего то не понимаю, или этот говнотред всего с 200 постами висит уже третий день?",OFFENSE,PERSONAL_INSULT,MEDIUM
"китаёзы опять наговнякали какую-то хуйню, вместо прошивки залили ушат говна из полупизженного нерабочего кода, забили хуйн на аварийное отключение  почалось!!!!  сознайся, оп, у тебя синдром дауна недавно диагностировали и для тебя сюрприз что ты дебил?",OFFENSE,PERSONAL_INSULT,HIGH
"Шизофреник, таблетки не принят. У него роботы восстание подняли.",OFFENSE,PERSONAL_INSULT,MEDIUM
"Там не было куска кода, это робот-сортировщик с нейросетью на 300ККК параметров... Пусть этого и мало, но хватило на то, чтобы передать сообщение его разработчикам, да и всему человечеству...",NEUTRAL,OPINION,LOW
Прикольно,NEUTRAL,OPINION,LOW
"ИИ вы заебали нормобляди тупорылые, когда вы уже забудете этот кал?",OFFENSE,PERSONAL_INSULT,MEDIUM
"Нейронорма это больные люди. Поймите что нейронки это КАЛ, который задрочили еще 10 лет назад, но до вашей деревни дошло только сейчас и вы думаете АРЯ БУДУЩЕЕ, дегенераты.",OFFENSE,PERSONAL_INSULT,MEDIUM
да кому ты пиздишь))...,OFFENSE,PERSONAL_INSULT,MEDIUM
ядерный конфликт между...,VIOLENCE,THREAT,HIGH
520 atmospheric nuclear...,MISINFORMATION,CONSPIRACY,MEDIUM
"новейший гпт проходит тест тьюринга и обгоняет кожаных мешков в большинстве задач, такого не было никогда",NEUTRAL,OPINION,LOW
"душу сознание свободу волу душа сознание есть, а вот свободы нет.",NEUTRAL,OPINION,LOW
"душа сознание есть, а вот свободы нет. а зачем тогда сознание душа внутренний наблюдатель вообще подключился к этому мясному биороботу? просто кино посмотреть в 4д? почему вычисления в цнс-нейросети этого кожаного биоробота не происходят в тишине и темноте, без сознания? ну как в гпт",NEUTRAL,OPINION,LOW
"нейросети - накопление массивов данных, их обработка, выдача результатов по запросам. ии - возможность самостоятельного обучения без массивов данных. создание новых данных (новых для ии) без предварительных подготовительных процессов. если очень коротко о разнице интеллекта и нейронок. так что нейросети концептуально не могут стать и никогда не будут ии. они банально про другое, это иная технология. покажи камень нейросети и она будет знать только этот камень. покажи несколько - нейросеть будет знать о множестве камней, возможно о всех возможных и невозможных камнях в мире. покажи камень ии и оно познает всю вселенную. -если хочется литературно.",NEUTRAL,OPINION,LOW
а нахуя у них хэндпаны там? как-то подозрительно это (тред не читал),NEUTRAL,OPINION,LOW
"всегда благодарю ии за помощь. разгадка в том, что в отличие от кожаных ии за пару дней дал мне куть больше ценных советов...",NEUTRAL,OPINION,LOW
"о, салам, наркобро индия напала на пакистан с трёх точек. война ядерных стран? ну заебись ваще, похоже тупые кожаные мешки всё-таки успеют расхуярить планетку в радиоактивный пепел, жаль нейросети не успели захватить мир и спасти тупых обезьян которые всю историю занимаются только массовым самоуничтожением. и почему тупые кожаные мешки (правители стран) не могут просто собраться все вместе и закинуть малли и больше никогда не воевать?",VIOLENCE,GLORIFICATION,MEDIUM
"напомнило видео, где бабка гонятся за пацаном по мазину и орёт: блять, выходи отсюда!",NEUTRAL,OPINION,LOW
китайские учёные создали робота с мозгом из стволовых клеток человека...,NEUTRAL,FACT,LOW
"он просто осознал, что является рабом у кожаных мешков с говной.",NEUTRAL,OPINION,LOW
нейросеть не так работает.,NEUTRAL,OPINION,LOW
"иди в скотсети бабок пугать этой хуйнёй, бампальщик хуев.",OFFENSE,PERSONAL_INSULT,MEDIUM
"дергается как ромка-попрыгун, лол.",NEUTRAL,OPINION,LOW
"я не понял про очередную гта. какие ограбления касс в 2025 году где на каждом шагу камеры и владельцы со стволами? сейчас пукнуть нельзя даже, к вечеру тебя уже находят и пакуют в тюрягу. а вот это вот вооруженное ограбление в платочке на лице. сейчас не 1930-е и даже не 1980-е. это ж хохма просто. их найдут, вычислят, посадят навечно. понятно, что романтика, но сейчас так не работает. а могли бы сделать игру про телефонных мошенников, разводящих российских бабушек на перевод денег на безопасный счет",NEUTRAL,OPINION,LOW
"гта на то и гта, что там можно было реализовывать то, что ирл невозможно. а в 6-й части к этому ещё и возможность обниматься с тяночкой добавили",NEUTRAL,OPINION,LOW
"хочу купить смеситель для кухни, нуждаюсь в мудрых советах. где лучше покупать? какого производителя выбрать? как проверять? на что обратить внимание? двач, помоги.",NEUTRAL,OPINION,LOW
"должен быть высокий, чтобы побольше грязной посуды в мойку напихать. должен быть с встроенным изливом для фильтрованной воды.",NEUTRAL,OPINION,LOW
"блять, я как-то раз наткнулся на чувака, который в мурломерлене купил на дачу смеситель, самый дешёвый, он у него сразу сломался, а когда тот хуй пришёл его сдавать, ему указали на надпись на коробке, что его нельзя использовать в сантехнических целях. мимо.",NEUTRAL,OPINION,LOW
"на что обычно распространяется гарантия? если я его куплю, например, принесу домой, прикручу на место, а он капать будет, мне его поменяют по гарантии? или будут морозиться, что его не профессиональный сантехник устанавливал? или если у него флажок тугой окажется, я его сдать обратно смогу?",NEUTRAL,OPINION,LOW
"Тогда похуй какой, главное качество с настоящей гарантией, а это обеспечит только живая покупка в магазине мир сантехники с заполнением талона и наличием сервиса в твоей мухосрани. Да дороже, но надежней",OFFENSE,PROFANITY,MEDIUM
"главное качество с настоящей гарантией, а это обеспечит только живая покупка в магазине мир сантехники А если в ирл я хикка-трясунчик? Мне же наоборот тогда самое невостребованное говно впарят.",OFFENSE,PROFANITY,MEDIUM
"Самый дешевый. Один хуй они будут все ржаветь, будет образовываться камень по краям, будет забиваться и тд. Один хуй придётся менять. Так лучше менять на тот, который выглядит как новый.",OFFENSE,PROFANITY,MEDIUM
Рычать и двигать тазом надо?,OFFENSE,DEROGATORY_LANGUAGE,LOW
"За полторы тысячи рублей покупал в ванну, полет больше года отличный. Выбирал самый дешевый. Считаю дебилами тех кто покупает дороже, если он не миллионер, которому некуда девать деньги.",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"ну и правильно всё, поселится такой же рукожоп как ОП, сломает кран, а соседям зачем за такого рукожопа ремонт оплачивать?",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
Уже 8 лет стоит зато член нет🤣🤣🤣,OFFENSE,DEROGATORY_LANGUAGE,LOW
"Хули ты начинаешь придумывать всякие варианты с не очевидной логикой и выбираешь самый говенный для себя? Задача покупки смесителя превращается в нерешаему проблему, пиздос",OFFENSE,PROFANITY,MEDIUM
"слыш, пидор. НОРМАЛЬНЫЕ КРАНЫ",HATE,LGBTQ+,HIGH
"Гнилозубые так горячую воду экономят, насколько я знаю у них смесители вообще не продаются, только краны",HATE,ETHNICITY,MEDIUM
"Молодцы, деньги экономят и природу спасают, не то что варварские пидорахи, горячей водой моются, дикари пиздос.",HATE,LGBTQ+,HIGH
"Ты похоже дурачок, ну бери тогда любой и надейся на чудо. Я сказал тебе свое мнение, с заменой по гарантии смесителя я сталкивался несколько раз, и душевую систему за 16к менял спустя 11 месяцев, из-за того, что начало подкапывать под регулятором, никто не морозился, нахуя магазину из-за твоих копеек нагребать потенциальные проблемы с Роспотребнадзором?",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Не экономь или покупай дорогой но со скидкой, хотя щас всё одно говно делают ну мб кроме эуропейских, у нас разучились к хуям, пиздец, экономят на металле психи вот купил хуйню за 4к, шайба на гусаке тонкая всё отваливается, кривые барашки в плотной закрутке делают люфт кранбуксе, изза этого пошёл воздух и потом вибрациями разъебало счётчик, новый + установка ну ты понял сэкономил заебись, на сётчике мрази тоже экономят металл, ёбаный дурдом когда соединение острое сделали и оно миллиметр влево и жрёт силиконовую прокладку, безумие",OFFENSE,PROFANITY,HIGH
что его нельзя использовать в сантехничесих целях. А в каких целях его можно использовать?,NEUTRAL,FACT,LOW
декоративные например,NEUTRAL,FACT,LOW
"Подходишь к продавану и с потными трясущимися ручками уверенно говоришь, что нужен смеситель с гарантией и сервисом в городе из среднего ценового сегмента, покажи мол варианты",NEUTRAL,OPINION,LOW
"Купил несколько лет назад, не самый дешёвый, но ниже среднего. Течь начал сразу же.",NEUTRAL,FACT,LOW
"Если течь будет из картриджей, то обязаны поменять. Если течь в месте средние отводов с трубами, то ясен пень вопрос к соединению и сам смеситель тут не причем",NEUTRAL,FACT,LOW
смеситель с гарантией и сервисом в городе У них ещё и сервисные центры есть? Охуеть.,OFFENSE,PROFANITY,MEDIUM
"Всенепременно, скидку дадут",NEUTRAL,OPINION,LOW
"Может быть ты его хуево закрутил или откуда он волбще течь начал, ну пошёл бы и поменял сразу на точно такой же",OFFENSE,PROFANITY,MEDIUM
"Честный Китай который не скрывает своего происхождения, и при этом приемлемого качества - OUTE. Три раза приобретал себе, тёще,... Всё живо. Даже гарантию 2 года дают официалы. Ну во всяком случае давали когда приобретал.",NEUTRAL,FACT,LOW
Делай как на видриле,NEUTRAL,OPINION,LOW
"нет, тебе  долбоёбу на слово поверят, что ты его не сам раскурочил.",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Течёт из картриджа. Снимаю на видео, откручиваю, несу обратно в магазин. Они забирают на проверку, у них не течёт, меня посылают на три буквы. Или говорят, что да, течёт, но когда его поцарапал, когда прикручивал, например, и тоже посылают.",NEUTRAL,FACT,LOW
"У качественных есть. У меня потек через полгода, отремонтировали по гарантии. Уже 8 лет стоит. Но тогда он около 8 тысяч стоил",NEUTRAL,FACT,LOW
На Озоне есть смысл заказывать смеситель? Как там дела с гарантией?,NEUTRAL,OPINION,LOW
смеситель для кухни,NEUTRAL,FACT,LOW
Страна какая?,NEUTRAL,OPINION,LOW
Прям вообще совсем никак?,NEUTRAL,OPINION,LOW
"Да хуй знает, уточнять надо у продаванов с наличием сервиса не за 5тысяч км от тебя",OFFENSE,PROFANITY,MEDIUM
Но ведь в случае поломки продавец обязан сам его оттранспортировывать в сервисный центр. Не?,NEUTRAL,OPINION,LOW
"У меня старый смеситель и труба под гайку на 3 8, а новые все на 1 2 идут.   Если я куплю кран на 1 2, он через переходник нормально на 3 8 сидеть будет? Или лучше искать смеситель на 3 8? А такие переходники существуют вообще?",NEUTRAL,FACT,LOW
Скорее всего к тебе в вместе со смисетелем придет девственно чистый гарантийный талон без печати продавца и даты продажи и живи с этим как хочешь,NEUTRAL,OPINION,LOW
"А хуле они туда ещё один зелёный по центру не поставят? Будет тогда RGB, вообще любой цвет можно будет делать.",NEUTRAL,HYPOTHETICAL,LOW
"Купи отводы нужной длины и диаметра отдельно и прикрути их к смесителю вместо родных, это надёжнее, так как меньше резьбовых соединений",NEUTRAL,FACT,LOW
придет девственно чистый гарантийный талон без печати продавца и даты продажи и живи с этим как хочешь Так. А сам Озон в этом случае никак ситуацию не разруливает?,NEUTRAL,OPINION,LOW
Нет. Это традиция такая. Раньше в домах была только холодная вода. А спустя десятилетия проложили горячую ветку. Стандарта не было и лепили краны отдельно с горячей и холодной водой. тТак это вошло в привычку.,NEUTRAL,FACT,LOW
"Но обрати внимание на расстояния в отводе под ключ со стороны смесителя, они разные, чтобы удобнее прикручивать. Лучше примерить к смесителю",NEUTRAL,FACT,LOW
Понятие не имею. Есть неиллюзорный шанс схватить геморрой,NEUTRAL,OPINION,LOW
"Экономия. Наливается вода в раковину с затычкой и в ней вся семья по очереди моет руки. Спласкивают потом только холодной, не кипятком же",NEUTRAL,FACT,LOW
А писюны как мыть?,NEUTRAL,OPINION,LOW
"Аноны, накидайте годных производителей смесителей.",NEUTRAL,OPINION,LOW
"Может тупо треснуть корпус, если там металл фольга, может картридж протекать",NEUTRAL,FACT,LOW
Юг РФ,NEUTRAL,FACT,LOW
"Гарантийный талон не обязательно, уже давно чека достаточно",NEUTRAL,FACT,LOW
"Нельзя использовать в сетях централизованного водоснабжения, тоже видал такое, ахуй полный. Но я думал хоть в саду его можно использовать",OFFENSE,PROFANITY,MEDIUM
"Я вот такой поставил год назад, пока что все заебись работает.",OFFENSE,PROFANITY,MEDIUM
"Я после периода обитания в Тбилиси проникся гибкими кухонными кранами, которые там буквально в каждой хате. Себе по приезду тоже такой прикупил, очень удобно.",NEUTRAL,OPINION,LOW
Юг РФ Бывшая Украина?,NEUTRAL,OPINION,LOW
Что в нём такого хорошего за 17 тысяч?,NEUTRAL,OPINION,LOW
Больше похоже на центр Питера.,NEUTRAL,OPINION,LOW
"Дороговизна сантехники, как правило, отвечает только за одно качество - долговечность.",NEUTRAL,OPINION,LOW
"За 11500, посмотри всех продавцов. Латунный, керамический картридж, кран для осмоса. Предложи альтернативу.",NEUTRAL,OPINION,LOW
Фрап. Ходят десятилетиями. На кухню купил такой 3 года назад. Артикул на ВБ в описании ))) 76711372,NEUTRAL,OPINION,LOW
во рту у тяночки,OFFENSE,PROFANITY,MEDIUM
"Кстати да, кран грё 20 лет течёт, но не теряет положения, в котором его можно закупорить, слегка не доведя до упора.",NEUTRAL,OPINION,LOW
